1티어%,전략,CAGR,MDD,Calmar
0.1,이평4일,1.016324282467504,-0.3791235883957085,2.6807202547542897
0.1,중심주가,0.7442686762755952,-0.3604652320966889,2.0647446965868745
0.25,이평4일,1.0117867560002591,-0.3797183830752141,2.6645714326657863
0.25,중심주가,0.743326040562873,-0.3609343941192026,2.0594491760111433
0.5,이평4일,1.0101098642380033,-0.3807168869568561,2.6531785135984043
0.5,중심주가,0.7417544087301728,-0.36173415089594974,2.05055123187286
1.0,이평4일,1.00674437158386,-0.3827063455883113,2.630592314941245
1.0,중심주가,0.738598969472295,-0.36331032351798476,2.032969947895611
2.0,이평4일,0.9999956359730455,-0.38668243129671753,2.5860901738401125
2.0,중심주가,0.7323761844139449,-0.36670414817212715,1.9971854369920437
3.0,이평4일,0.993218088966018,-0.39065320526074976,2.542454728620679
3.0,중심주가,0.7261546675043031,-0.3702119096565587,1.9614567996419898
5.0,이평4일,0.9794951035381374,-0.39859570541560585,2.4573649194660594
5.0,중심주가,0.7133682238994676,-0.37942178477930566,1.880145665105669
