전략,구간,티어,거래횟수,승률,평균수익률,손익합,손익비,평균보유일
이평4일,천장,1,95.0,0.9263157894736842,0.018518003274619447,2793806.9399999985,0.11677039505991668,4.842105263157895
이평4일,천장,2,1062.0,0.504708097928437,0.0034396465157153664,504888656.0999999,1.391821238261446,1.0
이평4일,중간,2,462.0,0.7164502164502164,0.018903051021870523,1013153920.7100002,1.038729081061763,2.619047619047619
이평4일,중간,1,149.0,0.87248322147651,0.01744957019028143,4362120.429999999,0.44782316117282134,10.348993288590604
이평4일,바닥,2,272.0,0.5955882352941176,0.020353406568292067,75233683.03,0.8792967580635893,1.0
이평4일,바닥,1,39.0,0.8974358974358975,0.029555660273929415,713280.77,0.31029631560415266,7.9743589743589745
중심주가,천장,1,122.0,0.9180327868852459,0.006946754422424851,1156027.98,0.17377842512453448,4.745901639344262
중심주가,천장,2,1183.0,0.5156382079459002,0.003510027574906368,100503284.73000002,1.1809945413869152,1.0
중심주가,중간,2,1094.0,0.5356489945155393,0.005509426403803852,45644618.99000001,2.225894141505517,1.0
중심주가,중간,1,98.0,0.8775510204081632,0.007154139289125527,-51388.49000000003,0.11951180491518142,5.836734693877551
중심주가,바닥,2,245.0,0.563265306122449,0.01840780091867897,22771965.450000003,2.2767319136545794,1.0
중심주가,바닥,1,58.0,0.9482758620689655,0.058169116277158726,135496.77,0.24543069479657437,4.551724137931035
