쌍,A,B,A비중,시나리오,CAGR,MDD,Calmar,Sharpe,Sortino,최악일
이평4일+이평1일,이평4일,이평1일,5,전체 2011~,0.9575814154587292,-0.41475905276123215,2.3087655569750476,1.5839801492988517,2.233569695654869,-0.25805727563278147
이평4일+이평1일,이평4일,이평1일,10,전체 2011~,0.9606670694141515,-0.4079234199992323,2.355018178205996,1.603169724824915,2.2679810803245273,-0.23383876691537753
이평4일+이평1일,이평4일,이평1일,15,전체 2011~,0.9636926427872807,-0.40095001513540907,2.403523148544643,1.6193942644133084,2.299842609807938,-0.21616726916656104
이평4일+이평1일,이평4일,이평1일,20,전체 2011~,0.9666419801093773,-0.39383652839369043,2.4544243878340657,1.6326399147886954,2.328625704536713,-0.20636717282334605
이평4일+이평1일,이평4일,이평1일,25,전체 2011~,0.9695216607219499,-0.3865862110080708,2.5079054376869876,1.642965898739145,2.35215085495583,-0.19630184345544832
이평4일+이평1일,이평4일,이평1일,30,전체 2011~,0.9723592338574054,-0.3791886599133517,2.5643151725043647,1.6504871821683205,2.368111236096488,-0.18595241115337025
이평4일+이평1일,이평4일,이평1일,35,전체 2011~,0.9751156380152144,-0.3716444062410964,2.6237866671471677,1.6552659712933857,2.3800452750161747,-0.1752991348396381
이평4일+이평1일,이평4일,이평1일,40,전체 2011~,0.9778357993983295,-0.3639363960280827,2.6868315729622054,1.6574747954567448,2.385530163275113,-0.16433950421432564
이평4일+이평1일,이평4일,이평1일,45,전체 2011~,0.9804900332505018,-0.3560761096311127,2.7535967921753266,1.6572352355588902,2.3843880332235114,-0.15306548953885224
이평4일+이평1일,이평4일,이평1일,50,전체 2011~,0.9830961844946464,-0.34805082150731637,2.8245765380961205,1.6547289759146464,2.377314283055793,-0.14145367501007888
이평4일+이평1일,이평4일,이평1일,55,전체 2011~,0.9856568176600047,-0.3418327913745586,2.8834472365759223,1.6501366419967531,2.366115451620921,-0.13670242780675834
이평4일+이평1일,이평4일,이평1일,60,전체 2011~,0.9881665857936668,-0.34336063300339825,2.8779262699690062,1.6436400652314866,2.3498425012431317,-0.1394702556720857
이평4일+이평1일,이평4일,이평1일,65,전체 2011~,0.9906356109188805,-0.344832411294585,2.8728030732372076,1.635436253206363,2.331435802805384,-0.15019225537871506
이평4일+이평1일,이평4일,이평1일,70,전체 2011~,0.9930556073198309,-0.3462528545103778,2.8680069907988797,1.6257001900723518,2.3076138366200847,-0.16083218451964454
이평4일+이평1일,이평4일,이평1일,75,전체 2011~,0.9954366754488992,-0.3476240305384658,2.863543909513329,1.614627195397647,2.2810046837030837,-0.171382344499723
이평4일+이평1일,이평4일,이평1일,80,전체 2011~,0.9977746385397612,-0.3489486741022877,2.859373634551431,1.6023855620359941,2.2521120945505313,-0.18185014683540135
이평4일+이평1일,이평4일,이평1일,85,전체 2011~,1.000070892782912,-0.3502276116406646,2.8554884296472607,1.5891525247101654,2.2217943249011367,-0.19222399677856294
이평4일+이평1일,이평4일,이평1일,90,전체 2011~,1.0023341973188833,-0.35146456109781943,2.85187842036772,1.5750869510467502,2.1928971350520574,-0.20251589541047088
이평4일+이평1일,이평4일,이평1일,95,전체 2011~,1.0045546994617753,-0.3631713938530181,2.766062295832519,1.5603216773780932,2.1638004611732913,-0.21273032997486474
이평4일+이평1일,이평4일,이평1일,5,IS 2017~2023,1.2192116765310619,-0.3902097102940326,3.1245036819108267,1.774091093410108,2.4820425200260403,-0.2357509530765518
이평4일+이평1일,이평4일,이평1일,10,IS 2017~2023,1.219440152716322,-0.38446217456134424,3.1718078744876625,1.784597306222397,2.513594318464871,-0.22718646670196918
이평4일+이평1일,이평4일,이평1일,15,IS 2017~2023,1.2197352394013814,-0.3792218128350182,3.2164163508496055,1.7933618880587152,2.5420330912680127,-0.21833531001061568
이평4일+이평1일,이평4일,이평1일,20,IS 2017~2023,1.2199388456822446,-0.3739304517235632,3.2624752545805307,1.800200488844816,2.568525287577085,-0.20918017780477194
이평4일+이평1일,이평4일,이평1일,25,IS 2017~2023,1.2201080808453368,-0.36860974450590367,3.310026658358717,1.8051243736084601,2.591600221541067,-0.19974382206232788
이평4일+이평1일,이평4일,이평1일,30,IS 2017~2023,1.2204609409857112,-0.36317996773332706,3.360485294942979,1.8083997723002228,2.610372547117194,-0.18988250056387634
이평4일+이평1일,이평4일,이평1일,35,IS 2017~2023,1.22065948100733,-0.3577367553526304,3.412172394206724,1.809641280543643,2.621978273094862,-0.1797074271874034
이평4일+이평1일,이평4일,이평1일,40,IS 2017~2023,1.2208905345551546,-0.3522190932165382,3.4662815221222893,1.809094374946348,2.628494680921739,-0.16915415827883906
이평4일+이평1일,이평4일,이평1일,45,IS 2017~2023,1.2211617448434038,-0.3466337575333175,3.522916387409351,1.8068234035509907,2.6262263732458306,-0.1581950658421577
이평4일+이평1일,이평4일,이평1일,50,IS 2017~2023,1.221381314596365,-0.3410146427853493,3.581609589020375,1.8027646230844774,2.618832830817478,-0.14683344765087603
이평4일+이평1일,이평4일,이평1일,55,IS 2017~2023,1.221632624894935,-0.3353220749706217,3.643161951094227,1.797099825806411,2.603891582031779,-0.13498837822458276
이평4일+이평1일,이평4일,이평1일,60,IS 2017~2023,1.2219195454244098,-0.32956588988686397,3.7076638782122755,1.7899289038895418,2.588164117516123,-0.13446314148172234
이평4일+이평1일,이평4일,이평1일,65,IS 2017~2023,1.2221209140916858,-0.32375211861973185,3.774866151616284,1.7812035170857674,2.5681291412886416,-0.1454920341883701
이평4일+이평1일,이평4일,이평1일,70,IS 2017~2023,1.2224330333534317,-0.31771485247899756,3.847579122648162,1.7712459888483338,2.54018677185291,-0.1565182429928218
이평4일+이평1일,이평4일,이평1일,75,IS 2017~2023,1.2225911469328863,-0.31193697930147846,3.919353036214683,1.7599255430516367,2.50891004216213,-0.16752647055248981
이평4일+이평1일,이평4일,이평1일,80,IS 2017~2023,1.2229088809862092,-0.3057328293838669,3.9999266138696856,1.7476188064552554,2.475331967710912,-0.1785972267302809
이평4일+이평1일,이평4일,이평1일,85,IS 2017~2023,1.223172906407894,-0.3063061814574569,3.993301410333377,1.734274891533292,2.439707840880096,-0.18964009617327438
이평4일+이평1일,이평4일,이평1일,90,IS 2017~2023,1.2233050052453258,-0.30687254032747235,3.9863619075851573,1.7199158330300157,2.403219224854684,-0.2007082929055598
이평4일+이평1일,이평4일,이평1일,95,IS 2017~2023,1.2236233464158595,-0.3074203252299291,3.98029422908415,1.705005267425881,2.368842895908334,-0.21175410573964326
이평4일+이평1일,이평4일,이평1일,5,OOS 2024~2026,2.333159071208662,-0.3451488535322159,6.759863309210982,2.1718647336076082,3.2499300096795642,-0.2757319052232824
이평4일+이평1일,이평4일,이평1일,10,OOS 2024~2026,2.3846719488573953,-0.33233548468285656,7.175496023643268,2.2500045821560404,3.328375030364609,-0.24717170073733186
이평4일+이평1일,이평4일,이평1일,15,OOS 2024~2026,2.3869989425026192,-0.3322808866220539,7.18367814281675,2.289864069498042,3.3816365153900754,-0.22929531430587247
이평4일+이평1일,이평4일,이평1일,20,OOS 2024~2026,2.389789251730562,-0.33177967787934926,7.202940418188007,2.326798321840714,3.429488502265582,-0.21221098071465905
이평4일+이평1일,이평4일,이평1일,25,OOS 2024~2026,2.392594882273479,-0.3314361686248699,7.218870807613923,2.360623984713553,3.4752293879300935,-0.1957149402834929
이평4일+이평1일,이평4일,이평1일,30,OOS 2024~2026,2.3937070612914066,-0.33168114376338886,7.216892205964545,2.390056488197085,3.5131572427860043,-0.17972496125436543
이평4일+이평1일,이평4일,이평1일,35,OOS 2024~2026,2.3967990043120673,-0.33313073747456023,7.194769904698754,2.4167672363787487,3.5467096550723043,-0.1643312655220308
이평4일+이평1일,이평4일,이평1일,40,OOS 2024~2026,2.3976628556930706,-0.33547369554047846,7.147096441735078,2.4379209906079393,3.5635682813375102,-0.14941419962708158
이평4일+이평1일,이평4일,이평1일,45,OOS 2024~2026,2.4013808832379997,-0.33685982830045547,7.128724417374385,2.456510095649937,3.5884410069717907,-0.1348675828348399
이평4일+이평1일,이평4일,이평1일,50,OOS 2024~2026,2.404648445122762,-0.33859280508055023,7.101888785116693,2.4700009176338726,3.6014070223666264,-0.12603019397530224
이평4일+이평1일,이평4일,이평1일,55,OOS 2024~2026,2.4066184806544375,-0.34063025677121483,7.065192926390121,2.4782572754281857,3.6065009319687458,-0.12540029317951162
