seed_w%,A 금액매수,B 1주고정,변화 A,변화 B
1,2.8544003459236054,2.8279984520062076,0.0,0.0
5,2.700870916701416,2.8279984520062076,-5.378692916760819,0.0
10,2.4873757685262503,2.8279984520062076,-12.85820252654839,0.0
20,1.9709158374139077,2.8279984520062076,-30.951667651365366,0.0
30,1.5270439836216336,2.8279984520062076,-46.502109075119094,0.0
50,0.7207553426761251,2.8279984520062076,-74.74932541591643,0.0
70,0.3839940187793986,2.8279984520062076,-86.54729637600472,0.0
90,0.2807272283706954,2.8279984520062076,-90.16510670020045,0.0
