시나리오,변형,대상,CAGR,MDD,Calmar,Sharpe,Sortino,최악일,배수
전체 2011~,A 현재 (1% 금액),이평4일,1.00674437158386,-0.3827063455883113,2.630592314941245,1.5450150624751955,2.1335549940572656,-0.2228531425871163,53363.048828
전체 2011~,A 현재 (1% 금액),중심주가,0.738598969472295,-0.36331032351798476,2.032969947895611,1.3790662767831428,1.960712461450145,-0.23763469973300355,5672.218910333333
전체 2011~,A 현재 (1% 금액),50:50 합산,0.9321314283389444,-0.32655945746017356,2.8544003459236054,1.585580183258246,2.23982334275901,-0.15731531887389982,29517.633869166664
전체 2011~,B 1주 고정,이평4일,0.9920027366363204,-0.37482631931696675,2.646566384249679,1.5326937374505933,2.0834471808085175,-0.22258838267598646,47555.305085
전체 2011~,B 1주 고정,중심주가,0.7427418277738091,-0.3603404384643446,2.061222523175963,1.380244436629138,1.9440489066352131,-0.23721890896064868,5887.166291
전체 2011~,B 1주 고정,50:50 합산,0.9198651893079057,-0.3252707541814053,2.8279984520062076,1.581777043938979,2.2366421361911355,-0.15463994745226173,26721.235688
전체 2011~,C 1주 + 게이트확대,이평4일,0.9920027366363204,-0.37482631931696675,2.646566384249679,1.5326937374505933,2.0834471808085175,-0.22258838267598646,47555.305085
전체 2011~,C 1주 + 게이트확대,중심주가,0.7427418277738091,-0.3603404384643446,2.061222523175963,1.380244436629138,1.9440489066352131,-0.23721890896064868,5887.166291
전체 2011~,C 1주 + 게이트확대,50:50 합산,0.9198651893079057,-0.3252707541814053,2.8279984520062076,1.581777043938979,2.2366421361911355,-0.15463994745226173,26721.235688
IS 2017~2023,A 현재 (1% 금액),이평4일,1.223710906118992,-0.31931752067845076,3.832269847013047,1.6892216108576963,2.3381872987027097,-0.22283142572311676,265.5121213333333
IS 2017~2023,A 현재 (1% 금액),중심주가,1.0006953950094846,-0.3605985826520167,2.7750951976845992,1.611518835559681,2.2814615344337397,-0.23758331089237716,126.918644
IS 2017~2023,A 현재 (1% 금액),50:50 합산,1.1294701615206821,-0.3037092183653747,3.7189195889401128,1.7519387842051328,2.5144242765477682,-0.13095169447550004,196.21538266666664
IS 2017~2023,B 1주 고정,이평4일,1.2299462918131563,-0.3204178199071859,3.838570189914624,1.6957519898368516,2.3321992021094817,-0.22257706647488051,270.75578733333333
IS 2017~2023,B 1주 고정,중심주가,1.007384179146321,-0.35716660710973114,2.820488139410036,1.6179587503953852,2.2843355597325683,-0.23721301183358512,129.912002
IS 2017~2023,B 1주 고정,50:50 합산,1.1358130358469558,-0.30177658571651167,3.763754676825512,1.7615473304532827,2.53355370854322,-0.13092758519437486,200.33389466666665
IS 2017~2023,C 1주 + 게이트확대,이평4일,1.2299462918131563,-0.3204178199071859,3.838570189914624,1.6957519898368516,2.3321992021094817,-0.22257706647488051,270.75578733333333
IS 2017~2023,C 1주 + 게이트확대,중심주가,1.007384179146321,-0.35716660710973114,2.820488139410036,1.6179587503953852,2.2843355597325683,-0.23721301183358512,129.912002
IS 2017~2023,C 1주 + 게이트확대,50:50 합산,1.1358130358469558,-0.30177658571651167,3.763754676825512,1.7615473304532827,2.53355370854322,-0.13092758519437486,200.33389466666665
OOS 2024~2026,A 현재 (1% 금액),이평4일,2.427187027379131,-0.3571853586472653,6.79531500555171,2.3701830674302293,3.4148293631859,-0.13734982312270372,25.554140333333333
OOS 2024~2026,A 현재 (1% 금액),중심주가,1.7032141609067089,-0.32392663765428387,5.2580243886101545,1.8995641199242022,2.9302831890032883,-0.15502862273219287,13.687045
OOS 2024~2026,A 현재 (1% 금액),50:50 합산,2.099736437075525,-0.3063227792837986,6.854653258190062,2.3443388147832254,3.427734244203888,-0.14450133570437274,19.620592666666667
OOS 2024~2026,B 1주 고정,이평4일,2.41351690421467,-0.35568453045597215,6.785554887980778,2.372899582309003,3.415212764488226,-0.13552958282579375,25.286830333333334
OOS 2024~2026,B 1주 고정,중심주가,1.7028501056266352,-0.32388180997878024,5.25762810124533,1.9001869936326865,2.9284088934872647,-0.15453443782267307,13.682195666666667
OOS 2024~2026,B 1주 고정,50:50 합산,2.0915478521788717,-0.3034727577730142,6.892044833043196,2.347691162500936,3.436552964251566,-0.14324912879202256,19.484513
OOS 2024~2026,C 1주 + 게이트확대,이평4일,2.41351690421467,-0.35568453045597215,6.785554887980778,2.372899582309003,3.415212764488226,-0.13552958282579375,25.286830333333334
OOS 2024~2026,C 1주 + 게이트확대,중심주가,1.7028501056266352,-0.32388180997878024,5.25762810124533,1.9001869936326865,2.9284088934872647,-0.15453443782267307,13.682195666666667
OOS 2024~2026,C 1주 + 게이트확대,50:50 합산,2.0915478521788717,-0.3034727577730142,6.892044833043196,2.347691162500936,3.436552964251566,-0.14324912879202256,19.484513
