시나리오,전략,1티어%,CAGR,MDD,Calmar,Sharpe,Sortino,최악일,배수,거래,승률
전체 2011~,이평4일,1,1.00674437158386,-0.3827063455883113,2.630592314941245,1.5450150624751955,2.1335549940572656,-0.2228531425871163,53363.048828,2079,0.6166426166426167
전체 2011~,이평4일,5,0.9794951035381374,-0.39859570541560585,2.4573649194660594,1.5206098907585006,2.0396623081376024,-0.22391032389994103,43097.248748000005,2079,0.6166426166426167
전체 2011~,이평4일,10,0.9443376852256247,-0.4183523590433613,2.257278260328266,1.4859030275634255,2.0002112224864925,-0.225233995717379,32570.439749333334,2079,0.6166426166426167
전체 2011~,이평4일,15,0.9081474210768359,-0.4356565516523767,2.0845489816057525,1.4468860297058816,1.966089796159586,-0.22657540553812627,24283.181652333336,2079,0.6166426166426167
전체 2011~,이평4일,20,0.8699917256967913,-0.45446314154537115,1.91432845959398,1.4028329880780086,1.9224977953685012,-0.22792984404513061,17709.898607333333,2079,0.6166426166426167
전체 2011~,이평4일,25,0.829590270445066,-0.4732102063800012,1.7531115332260636,1.3536975467576673,1.8666166428307525,-0.22930309729269793,12588.518477,2079,0.6166426166426167
전체 2011~,이평4일,30,0.7872197302341917,-0.4918722045143815,1.60045581557389,1.3001134145789797,1.799528670152992,-0.23069672366485416,8728.695077333334,2079,0.6166426166426167
전체 2011~,이평4일,35,0.742339254075095,-0.5104566873347662,1.4542649209887935,1.2417086275207907,1.719603210106233,-0.2321137818412763,5865.949544,2079,0.6166426166426167
전체 2011~,이평4일,40,0.6930806542255488,-0.5604103723940539,1.2367377342869867,1.1767524312927904,1.624937703940616,-0.2335572242563302,3747.0954810000003,2079,0.6166426166426167
전체 2011~,이평4일,45,0.6432469237558185,-0.6218930119515451,1.0343369540964342,1.1102190114609154,1.5229817739517821,-0.23503864180299872,2349.247609,2079,0.6166426166426167
전체 2011~,이평4일,50,0.5906676940603697,-0.6759211003235608,0.8738707724579383,1.0410627906176833,1.4136283779908818,-0.23660128770084432,1413.2328456666667,2079,0.6166426166426167
전체 2011~,이평4일,60,0.5183925749217908,-0.7557602400231743,0.6859219994239113,0.951497712815122,1.2716114974560775,-0.26537472828583797,683.293357,2063,0.6170625302956859
전체 2011~,이평4일,70,0.4383997220874185,-0.8128903059789536,0.5393098169124544,0.8671655780408432,1.1286535427051387,-0.29366269325118743,293.28330666666665,2043,0.6211453744493393
전체 2011~,이평4일,80,0.38255410047202365,-0.8480408810058592,0.45110337135902834,0.8114894117713668,1.0305820789487183,-0.29366435149832704,157.954311,2034,0.6219272369714848
